No 	Case 	结果 	Time(s) 	Log
1 	h-1-02 	AC 	0.0902816 	决赛期间LOG不予展示
2 	transpose2 	AC 	18.8047122 	决赛期间LOG不予展示
3 	h-1-03 	AC 	6.46848312 	决赛期间LOG不予展示
4 	h-1-01 	AC 	1.11911342 	决赛期间LOG不予展示
5 	transpose0 	AC 	0.59795822 	决赛期间LOG不予展示
6 	transpose1 	AC 	1.17661044 	决赛期间LOG不予展示
7 	gameoflife-gosper 	AC 	0.00456034 	决赛期间LOG不予展示
8 	03_sort2 	AC 	2.82201956 	决赛期间LOG不予展示
9 	crypto-1 	AC 	6.00518654 	决赛期间LOG不予展示
10 	if-combine3 	AC 	9.68864478 	决赛期间LOG不予展示
11 	h-2-01 	AC 	14.06110208 	决赛期间LOG不予展示
12 	gameoflife-p61glidergun 	AC 	5.1176082 	决赛期间LOG不予展示
13 	matmul3 	AC 	8.97772554 	决赛期间LOG不予展示
14 	matmul2 	AC 	16.30959376 	决赛期间LOG不予展示
15 	03_sort3 	AC 	2.93823822 	决赛期间LOG不予展示
16 	if-combine2 	AC 	5.8118205 	决赛期间LOG不予展示
17 	crypto-2 	AC 	4.15222812 	决赛期间LOG不予展示
18 	03_sort1 	AC 	3.16205172 	决赛期间LOG不予展示
19 	h-2-02 	AC 	13.80126892 	决赛期间LOG不予展示
20 	matmul1 	AC 	4.37373882 	决赛期间LOG不予展示
21 	h-2-03 	AC 	19.68922504 	决赛期间LOG不予展示
22 	if-combine1 	AC 	0.0159271 	决赛期间LOG不予展示
23 	crypto-3 	AC 	2.37624596 	决赛期间LOG不予展示
24 	h-5-02 	AC 	0.0003504 	决赛期间LOG不予展示
25 	h-4-01 	AC 	0.94617732 	决赛期间LOG不予展示
26 	sl2 	AC 	11.01454744 	决赛期间LOG不予展示
27 	h-8-01 	AC 	0.00034434 	决赛期间LOG不予展示
28 	h-11-02 	AC 	0.11966478 	决赛期间LOG不予展示
29 	h-9-02 	AC 	0.21235598 	决赛期间LOG不予展示
30 	h-10-01 	AC 	3.56640488 	决赛期间LOG不予展示
31 	h-9-03 	AC 	0.02238904 	决赛期间LOG不予展示
32 	h-11-03 	AC 	0.84641582 	决赛期间LOG不予展示
33 	sl3 	AC 	0.61513798 	决赛期间LOG不予展示
34 	h-5-03 	AC 	0.00036934 	决赛期间LOG不予展示
35 	h-4-02 	AC 	0.00191668 	决赛期间LOG不予展示
36 	sl1 	AC 	5.42806 	决赛期间LOG不予展示
37 	h-5-01 	AC 	0.00080226 	决赛期间LOG不予展示
38 	h-10-02 	AC 	8.66269994 	决赛期间LOG不予展示
39 	h-9-01 	AC 	2.31694234 	决赛期间LOG不予展示
40 	h-11-01 	AC 	0.11966492 	决赛期间LOG不予展示
41 	h-8-02 	AC 	0.0003315 	决赛期间LOG不予展示
42 	gameoflife-oscillator 	AC 	4.19999358 	决赛期间LOG不予展示
43 	h-8-03 	AC 	0.00035422 	决赛期间LOG不予展示
44 	h-10-03 	AC 	17.34588122 	决赛期间LOG不予展示
45 	h-4-03 	AC 	12.55920612 	决赛期间LOG不予展示
46 	01_mm1 	AC 	1.97649254 	决赛期间LOG不予展示
47 	04_spmv1 	AC 	10.2894388 	决赛期间LOG不予展示
48 	shuffle2 	AC 	0.4623763 	决赛期间LOG不予展示
49 	fft0 	AC 	0.20831472 	决赛期间LOG不予展示
50 	fft1 	AC 	2.14986498 	决赛期间LOG不予展示
51 	h-7-01 	AC 	0.377207 	决赛期间LOG不予展示
52 	sort_search 	AC 	21.74696324 	决赛期间LOG不予展示
53 	shuffle1 	AC 	3.84088484 	决赛期间LOG不予展示
54 	01_mm2 	AC 	6.89579314 	决赛期间LOG不予展示
55 	04_spmv2 	AC 	0.29290842 	决赛期间LOG不予展示
56 	04_spmv3 	AC 	11.75247864 	决赛期间LOG不予展示
57 	01_mm3 	AC 	4.39002178 	决赛期间LOG不予展示
58 	fft2 	AC 	0.95388548 	决赛期间LOG不予展示
59 	shuffle0 	AC 	0.6236606 	决赛期间LOG不予展示
