No 	Case 	结果 	Time(s) 	Log
1 	h-1-02 	AC 	0.07943972 	PASSED - 运行时间: 0.07943972秒
2 	transpose2 	AC 	17.41028508 	PASSED - 运行时间: 17.41028508秒
3 	h-1-03 	AC 	5.6763312 	PASSED - 运行时间: 5.6763312秒
4 	h-1-01 	AC 	0.9828823 	PASSED - 运行时间: 0.9828823秒
5 	transpose0 	AC 	0.67511472 	PASSED - 运行时间: 0.67511472秒
6 	transpose1 	AC 	1.2393247 	PASSED - 运行时间: 1.2393247秒
7 	gameoflife-gosper 	AC 	0.00462912 	PASSED - 运行时间: 0.00462912秒
8 	03_sort2 	AC 	3.12430326 	PASSED - 运行时间: 3.12430326秒
9 	crypto-1 	AC 	5.7910471 	PASSED - 运行时间: 5.7910471秒
10 	if-combine3 	AC 	43.92055922 	PASSED - 运行时间: 43.92055922秒
11 	h-2-01 	AC 	13.69165766 	PASSED - 运行时间: 13.69165766秒
12 	gameoflife-p61glidergun 	AC 	5.20612886 	PASSED - 运行时间: 5.20612886秒
13 	matmul3 	AC 	8.91741888 	PASSED - 运行时间: 8.91741888秒
14 	matmul2 	AC 	16.47577188 	PASSED - 运行时间: 16.47577188秒
15 	03_sort3 	AC 	2.81834856 	PASSED - 运行时间: 2.81834856秒
16 	if-combine2 	AC 	26.82725344 	PASSED - 运行时间: 26.82725344秒
17 	crypto-2 	AC 	4.08539202 	PASSED - 运行时间: 4.08539202秒
18 	03_sort1 	AC 	3.20133998 	PASSED - 运行时间: 3.20133998秒
19 	h-2-02 	AC 	13.38697504 	PASSED - 运行时间: 13.38697504秒
20 	matmul1 	AC 	4.30960956 	PASSED - 运行时间: 4.30960956秒
21 	h-2-03 	AC 	19.63898202 	PASSED - 运行时间: 19.63898202秒
22 	if-combine1 	AC 	0.08855112 	PASSED - 运行时间: 0.08855112秒
23 	crypto-3 	AC 	2.26343324 	PASSED - 运行时间: 2.26343324秒
24 	h-5-02 	AC 	0.00035444 	PASSED - 运行时间: 0.00035444秒
25 	h-4-01 	AC 	0.92840178 	PASSED - 运行时间: 0.92840178秒
26 	sl2 	AC 	10.91210666 	PASSED - 运行时间: 10.91210666秒
27 	h-8-01 	AC 	0.00033438 	PASSED - 运行时间: 0.00033438秒
28 	h-11-02 	AC 	0.11974266 	PASSED - 运行时间: 0.11974266秒
29 	h-9-02 	AC 	0.21236442 	PASSED（来自缓存） - 运行时间: 0.21236442秒
30 	h-10-01 	AC 	3.55716194 	PASSED - 运行时间: 3.55716194秒
31 	h-9-03 	AC 	0.02239092 	PASSED（来自缓存） - 运行时间: 0.02239092秒
32 	h-11-03 	AC 	0.84714118 	PASSED - 运行时间: 0.84714118秒
33 	sl3 	AC 	0.62849168 	PASSED - 运行时间: 0.62849168秒
34 	h-5-03 	AC 	0.0003711 	PASSED - 运行时间: 0.0003711秒
35 	h-4-02 	AC 	0.00191896 	PASSED - 运行时间: 0.00191896秒
36 	sl1 	AC 	5.27857546 	PASSED - 运行时间: 5.27857546秒
37 	h-5-01 	AC 	0.00082776 	PASSED - 运行时间: 0.00082776秒
38 	h-10-02 	AC 	8.6844294 	PASSED - 运行时间: 8.6844294秒
39 	h-9-01 	AC 	2.3169647 	PASSED（来自缓存） - 运行时间: 2.3169647秒
40 	h-11-01 	AC 	0.11977142 	PASSED - 运行时间: 0.11977142秒
41 	h-8-02 	AC 	0.00033796 	PASSED - 运行时间: 0.00033796秒
42 	gameoflife-oscillator 	AC 	4.29212544 	PASSED - 运行时间: 4.29212544秒
43 	h-8-03 	AC 	0.00034224 	PASSED - 运行时间: 0.00034224秒
44 	h-10-03 	AC 	17.30068472 	PASSED - 运行时间: 17.30068472秒
45 	h-4-03 	AC 	12.56314278 	PASSED - 运行时间: 12.56314278秒
46 	01_mm1 	AC 	1.97798348 	PASSED - 运行时间: 1.97798348秒
47 	04_spmv1 	AC 	10.39573086 	PASSED - 运行时间: 10.39573086秒
48 	shuffle2 	AC 	0.45955744 	PASSED - 运行时间: 0.45955744秒
49 	fft0 	AC 	0.20833096 	PASSED - 运行时间: 0.20833096秒
50 	fft1 	AC 	2.15830578 	PASSED - 运行时间: 2.15830578秒
51 	h-7-01 	AC 	0.37732394 	PASSED - 运行时间: 0.37732394秒
52 	sort_search 	AC 	20.23464496 	PASSED - 运行时间: 20.23464496秒
53 	shuffle1 	AC 	3.77418902 	PASSED - 运行时间: 3.77418902秒
54 	01_mm2 	AC 	6.48291362 	PASSED - 运行时间: 6.48291362秒
55 	04_spmv2 	AC 	0.28717944 	PASSED - 运行时间: 0.28717944秒
56 	04_spmv3 	AC 	11.89133048 	PASSED - 运行时间: 11.89133048秒
57 	01_mm3 	AC 	4.36276084 	PASSED - 运行时间: 4.36276084秒
58 	fft2 	AC 	0.95743514 	PASSED（来自缓存） - 运行时间: 0.95743514秒
59 	shuffle0 	AC 	0.62211714 	PASSED - 运行时间: 0.62211714秒
