No 	Case 	结果 	Time(s) 	Log
1 	h-1-02 	AC 	0.08607904 	PASSED - 运行时间: 0.08607904秒
2 	transpose2 	AC 	15.11462144 	PASSED - 运行时间: 15.11462144秒
3 	h-1-03 	AC 	6.12831186 	PASSED - 运行时间: 6.12831186秒
4 	h-1-01 	AC 	0.99802224 	PASSED - 运行时间: 0.99802224秒
5 	transpose0 	AC 	0.75182464 	PASSED - 运行时间: 0.75182464秒
6 	transpose1 	AC 	1.35306624 	PASSED - 运行时间: 1.35306624秒
7 	gameoflife-gosper 	AC 	0.00836118 	PASSED - 运行时间: 0.00836118秒
8 	03_sort2 	AC 	3.05717432 	PASSED - 运行时间: 3.05717432秒
9 	crypto-1 	AC 	5.95960546 	PASSED - 运行时间: 5.95960546秒
10 	if-combine3 	AC 	39.51129142 	PASSED - 运行时间: 39.51129142秒
11 	h-2-01 	AC 	13.5609992 	PASSED - 运行时间: 13.5609992秒
12 	gameoflife-p61glidergun 	AC 	9.7410176 	PASSED - 运行时间: 9.7410176秒
13 	matmul3 	AC 	9.45988394 	PASSED - 运行时间: 9.45988394秒
14 	matmul2 	AC 	16.78620564 	PASSED - 运行时间: 16.78620564秒
15 	03_sort3 	AC 	3.30674896 	PASSED - 运行时间: 3.30674896秒
16 	if-combine2 	AC 	24.332462 	PASSED - 运行时间: 24.332462秒
17 	crypto-2 	AC 	4.09976488 	PASSED - 运行时间: 4.09976488秒
18 	03_sort1 	AC 	3.05506184 	PASSED - 运行时间: 3.05506184秒
19 	h-2-02 	AC 	13.56025716 	PASSED - 运行时间: 13.56025716秒
20 	matmul1 	AC 	4.6063027 	PASSED - 运行时间: 4.6063027秒
21 	h-2-03 	AC 	19.63900632 	PASSED - 运行时间: 19.63900632秒
22 	if-combine1 	AC 	0.07948896 	PASSED - 运行时间: 0.07948896秒
23 	crypto-3 	AC 	2.36181796 	PASSED - 运行时间: 2.36181796秒
24 	h-5-02 	AC 	0.00040232 	PASSED - 运行时间: 0.00040232秒
25 	h-4-01 	AC 	0.9645615 	PASSED - 运行时间: 0.9645615秒
26 	sl2 	AC 	23.75758998 	PASSED - 运行时间: 23.75758998秒
27 	h-8-01 	AC 	0.000423 	PASSED - 运行时间: 0.000423秒
28 	h-11-02 	AC 	0.12904328 	PASSED - 运行时间: 0.12904328秒
29 	h-9-02 	AC 	0.21236782 	PASSED - 运行时间: 0.21236782秒
30 	h-10-01 	AC 	3.57257492 	PASSED - 运行时间: 3.57257492秒
31 	h-9-03 	AC 	0.0223934 	PASSED - 运行时间: 0.0223934秒
32 	h-11-03 	AC 	0.92172396 	PASSED - 运行时间: 0.92172396秒
33 	sl3 	AC 	1.41145944 	PASSED - 运行时间: 1.41145944秒
34 	h-5-03 	AC 	0.00043606 	PASSED - 运行时间: 0.00043606秒
35 	h-4-02 	AC 	0.00191608 	PASSED - 运行时间: 0.00191608秒
36 	sl1 	AC 	11.80171452 	PASSED - 运行时间: 11.80171452秒
37 	h-5-01 	AC 	0.00094926 	PASSED - 运行时间: 0.00094926秒
38 	h-10-02 	AC 	8.6688455 	PASSED - 运行时间: 8.6688455秒
39 	h-9-01 	AC 	2.31695758 	PASSED - 运行时间: 2.31695758秒
40 	h-11-01 	AC 	0.12971888 	PASSED - 运行时间: 0.12971888秒
41 	h-8-02 	AC 	0.0004135 	PASSED - 运行时间: 0.0004135秒
42 	gameoflife-oscillator 	AC 	7.9282687 	PASSED - 运行时间: 7.9282687秒
43 	h-8-03 	AC 	0.00042366 	PASSED - 运行时间: 0.00042366秒
44 	h-10-03 	AC 	17.29711894 	PASSED - 运行时间: 17.29711894秒
45 	h-4-03 	AC 	12.81883124 	PASSED - 运行时间: 12.81883124秒
46 	01_mm1 	AC 	2.65541508 	PASSED - 运行时间: 2.65541508秒
47 	04_spmv1 	AC 	10.24953296 	PASSED - 运行时间: 10.24953296秒
48 	shuffle2 	AC 	0.46734332 	PASSED - 运行时间: 0.46734332秒
49 	fft0 	AC 	0.20858964 	PASSED - 运行时间: 0.20858964秒
50 	fft1 	AC 	2.16864666 	PASSED - 运行时间: 2.16864666秒
51 	h-7-01 	AC 	0.37708704 	PASSED - 运行时间: 0.37708704秒
52 	sort_search 	AC 	19.88501676 	PASSED - 运行时间: 19.88501676秒
53 	shuffle1 	AC 	3.77250668 	PASSED - 运行时间: 3.77250668秒
54 	01_mm2 	AC 	9.64652566 	PASSED - 运行时间: 9.64652566秒
55 	04_spmv2 	AC 	0.29704456 	PASSED - 运行时间: 0.29704456秒
56 	04_spmv3 	AC 	11.62436744 	PASSED - 运行时间: 11.62436744秒
57 	01_mm3 	AC 	6.18858556 	PASSED - 运行时间: 6.18858556秒
58 	fft2 	AC 	0.9616819 	PASSED - 运行时间: 0.9616819秒
59 	shuffle0 	AC 	0.62791412 	PASSED - 运行时间: 0.62791412秒
