No 	Case 	结果 	Time(s) 	Log
1 	h-1-02 	AC 	0.09025504 	PASSED - 运行时间: 0.09025504秒
2 	transpose2 	AC 	15.99503342 	PASSED - 运行时间: 15.99503342秒
3 	h-1-03 	AC 	6.46841144 	PASSED - 运行时间: 6.46841144秒
4 	h-1-01 	AC 	1.11909524 	PASSED - 运行时间: 1.11909524秒
5 	transpose0 	AC 	0.70035008 	PASSED - 运行时间: 0.70035008秒
6 	transpose1 	AC 	1.07191732 	PASSED - 运行时间: 1.07191732秒
7 	gameoflife-gosper 	AC 	0.0045712 	PASSED - 运行时间: 0.0045712秒
8 	03_sort2 	AC 	2.7516719 	PASSED - 运行时间: 2.7516719秒
9 	crypto-1 	AC 	5.75865432 	PASSED - 运行时间: 5.75865432秒
10 	if-combine3 	AC 	44.05686892 	PASSED - 运行时间: 44.05686892秒
11 	h-2-01 	AC 	13.86763138 	PASSED - 运行时间: 13.86763138秒
12 	gameoflife-p61glidergun 	AC 	5.11721846 	PASSED - 运行时间: 5.11721846秒
13 	matmul3 	AC 	8.6932225 	PASSED - 运行时间: 8.6932225秒
14 	matmul2 	AC 	15.92604836 	PASSED - 运行时间: 15.92604836秒
15 	03_sort3 	AC 	3.20267866 	PASSED - 运行时间: 3.20267866秒
16 	if-combine2 	AC 	25.63138374 	PASSED - 运行时间: 25.63138374秒
17 	crypto-2 	AC 	4.22033994 	PASSED - 运行时间: 4.22033994秒
18 	03_sort1 	AC 	3.07680302 	PASSED - 运行时间: 3.07680302秒
19 	h-2-02 	AC 	13.30988868 	PASSED - 运行时间: 13.30988868秒
20 	matmul1 	AC 	4.31017252 	PASSED - 运行时间: 4.31017252秒
21 	h-2-03 	AC 	20.13970162 	PASSED - 运行时间: 20.13970162秒
22 	if-combine1 	AC 	0.085749 	PASSED - 运行时间: 0.085749秒
23 	crypto-3 	AC 	2.3974087 	PASSED - 运行时间: 2.3974087秒
24 	h-5-02 	AC 	0.00034108 	PASSED - 运行时间: 0.00034108秒
25 	h-4-01 	AC 	0.93616786 	PASSED - 运行时间: 0.93616786秒
26 	sl2 	AC 	11.00651434 	PASSED - 运行时间: 11.00651434秒
27 	h-8-01 	AC 	0.00033488 	PASSED - 运行时间: 0.00033488秒
28 	h-11-02 	AC 	0.11979094 	PASSED - 运行时间: 0.11979094秒
29 	h-9-02 	AC 	0.21235598 	PASSED - 运行时间: 0.21235598秒
30 	h-10-01 	AC 	3.60443936 	PASSED - 运行时间: 3.60443936秒
31 	h-9-03 	AC 	0.02238904 	PASSED - 运行时间: 0.02238904秒
32 	h-11-03 	AC 	0.8471275 	PASSED - 运行时间: 0.8471275秒
33 	sl3 	AC 	0.62690962 	PASSED - 运行时间: 0.62690962秒
34 	h-5-03 	AC 	0.0003632 	PASSED - 运行时间: 0.0003632秒
35 	h-4-02 	AC 	0.00191492 	PASSED - 运行时间: 0.00191492秒
36 	sl1 	AC 	5.44671988 	PASSED - 运行时间: 5.44671988秒
37 	h-5-01 	AC 	0.00082422 	PASSED - 运行时间: 0.00082422秒
38 	h-10-02 	AC 	8.72034828 	PASSED - 运行时间: 8.72034828秒
39 	h-9-01 	AC 	2.31694234 	PASSED - 运行时间: 2.31694234秒
40 	h-11-01 	AC 	0.11979572 	PASSED - 运行时间: 0.11979572秒
41 	h-8-02 	AC 	0.00034018 	PASSED - 运行时间: 0.00034018秒
42 	gameoflife-oscillator 	AC 	4.20817464 	PASSED - 运行时间: 4.20817464秒
43 	h-8-03 	AC 	0.00034304 	PASSED - 运行时间: 0.00034304秒
44 	h-10-03 	AC 	17.30329432 	PASSED - 运行时间: 17.30329432秒
45 	h-4-03 	AC 	12.40764032 	PASSED - 运行时间: 12.40764032秒
46 	01_mm1 	AC 	1.8747194 	PASSED - 运行时间: 1.8747194秒
47 	04_spmv1 	AC 	10.2154834 	PASSED - 运行时间: 10.2154834秒
48 	shuffle2 	AC 	0.4611305 	PASSED - 运行时间: 0.4611305秒
49 	fft0 	AC 	0.20756138 	PASSED - 运行时间: 0.20756138秒
50 	fft1 	AC 	2.16099684 	PASSED - 运行时间: 2.16099684秒
51 	h-7-01 	AC 	0.37732662 	PASSED - 运行时间: 0.37732662秒
52 	sort_search 	AC 	21.74990378 	PASSED - 运行时间: 21.74990378秒
53 	shuffle1 	AC 	3.72188556 	PASSED - 运行时间: 3.72188556秒
54 	01_mm2 	AC 	7.25481346 	PASSED - 运行时间: 7.25481346秒
55 	04_spmv2 	AC 	0.30114584 	PASSED - 运行时间: 0.30114584秒
56 	04_spmv3 	AC 	11.6257741 	PASSED - 运行时间: 11.6257741秒
57 	01_mm3 	AC 	4.13437746 	PASSED - 运行时间: 4.13437746秒
58 	fft2 	AC 	0.95397958 	PASSED - 运行时间: 0.95397958秒
59 	shuffle0 	AC 	0.6239472 	PASSED - 运行时间: 0.6239472秒
