No 	Case 	结果 	Time(s) 	Log
1 	h-1-02 	AC 	0.09027844 	PASSED - 运行时间: 0.09027844秒
2 	transpose2 	AC 	16.2144586 	PASSED - 运行时间: 16.2144586秒
3 	h-1-03 	AC 	6.46553032 	PASSED - 运行时间: 6.46553032秒
4 	h-1-01 	AC 	1.11907664 	PASSED - 运行时间: 1.11907664秒
5 	transpose0 	AC 	0.62081008 	PASSED - 运行时间: 0.62081008秒
6 	transpose1 	AC 	1.07313554 	PASSED - 运行时间: 1.07313554秒
7 	gameoflife-gosper 	AC 	0.00456034 	PASSED - 运行时间: 0.00456034秒
8 	03_sort2 	AC 	3.08766762 	PASSED - 运行时间: 3.08766762秒
9 	crypto-1 	AC 	5.9946369 	PASSED - 运行时间: 5.9946369秒
10 	if-combine3 	AC 	41.8779499 	PASSED - 运行时间: 41.8779499秒
11 	h-2-01 	AC 	13.63829286 	PASSED - 运行时间: 13.63829286秒
12 	gameoflife-p61glidergun 	AC 	5.21870884 	PASSED - 运行时间: 5.21870884秒
13 	matmul3 	AC 	8.93608516 	PASSED - 运行时间: 8.93608516秒
14 	matmul2 	AC 	16.20871786 	PASSED - 运行时间: 16.20871786秒
15 	03_sort3 	AC 	3.02387602 	PASSED - 运行时间: 3.02387602秒
16 	if-combine2 	AC 	25.61348128 	PASSED - 运行时间: 25.61348128秒
17 	crypto-2 	AC 	4.12216688 	PASSED - 运行时间: 4.12216688秒
18 	03_sort1 	AC 	3.11128592 	PASSED - 运行时间: 3.11128592秒
19 	h-2-02 	AC 	13.58157232 	PASSED - 运行时间: 13.58157232秒
20 	matmul1 	AC 	4.55469262 	PASSED - 运行时间: 4.55469262秒
21 	h-2-03 	AC 	19.64509172 	PASSED - 运行时间: 19.64509172秒
22 	if-combine1 	AC 	0.09064616 	PASSED - 运行时间: 0.09064616秒
23 	crypto-3 	AC 	2.3122391 	PASSED - 运行时间: 2.3122391秒
24 	h-5-02 	AC 	0.00034868 	PASSED - 运行时间: 0.00034868秒
25 	h-4-01 	AC 	0.93339782 	PASSED - 运行时间: 0.93339782秒
26 	sl2 	AC 	11.0256577 	PASSED - 运行时间: 11.0256577秒
27 	h-8-01 	AC 	0.00033742 	PASSED - 运行时间: 0.00033742秒
28 	h-11-02 	AC 	0.1198216 	PASSED - 运行时间: 0.1198216秒
29 	h-9-02 	AC 	0.21236956 	PASSED - 运行时间: 0.21236956秒
30 	h-10-01 	AC 	3.59365194 	PASSED - 运行时间: 3.59365194秒
31 	h-9-03 	AC 	0.02240048 	PASSED - 运行时间: 0.02240048秒
32 	h-11-03 	AC 	0.84724608 	PASSED - 运行时间: 0.84724608秒
33 	sl3 	AC 	0.62836876 	PASSED - 运行时间: 0.62836876秒
34 	h-5-03 	AC 	0.00035684 	PASSED - 运行时间: 0.00035684秒
35 	h-4-02 	AC 	0.00190956 	PASSED - 运行时间: 0.00190956秒
36 	sl1 	AC 	5.34947418 	PASSED - 运行时间: 5.34947418秒
37 	h-5-01 	AC 	0.00082996 	PASSED - 运行时间: 0.00082996秒
38 	h-10-02 	AC 	8.6731538 	PASSED - 运行时间: 8.6731538秒
39 	h-9-01 	AC 	2.31702244 	PASSED - 运行时间: 2.31702244秒
40 	h-11-01 	AC 	0.11979506 	PASSED - 运行时间: 0.11979506秒
41 	h-8-02 	AC 	0.00032028 	PASSED - 运行时间: 0.00032028秒
42 	gameoflife-oscillator 	AC 	4.26816992 	PASSED - 运行时间: 4.26816992秒
43 	h-8-03 	AC 	0.000329 	PASSED - 运行时间: 0.000329秒
44 	h-10-03 	AC 	17.30449156 	PASSED - 运行时间: 17.30449156秒
45 	h-4-03 	AC 	12.4969022 	PASSED - 运行时间: 12.4969022秒
46 	01_mm1 	AC 	1.90632868 	PASSED - 运行时间: 1.90632868秒
47 	04_spmv1 	AC 	10.33032762 	PASSED - 运行时间: 10.33032762秒
48 	shuffle2 	AC 	0.46215228 	PASSED - 运行时间: 0.46215228秒
49 	fft0 	AC 	0.20750686 	PASSED - 运行时间: 0.20750686秒
50 	fft1 	AC 	2.14983252 	PASSED - 运行时间: 2.14983252秒
51 	h-7-01 	AC 	0.37732354 	PASSED - 运行时间: 0.37732354秒
52 	sort_search 	AC 	21.74915044 	PASSED - 运行时间: 21.74915044秒
53 	shuffle1 	AC 	3.8086675 	PASSED - 运行时间: 3.8086675秒
54 	01_mm2 	AC 	6.89083992 	PASSED - 运行时间: 6.89083992秒
55 	04_spmv2 	AC 	0.29840242 	PASSED - 运行时间: 0.29840242秒
56 	04_spmv3 	AC 	11.70419434 	PASSED - 运行时间: 11.70419434秒
57 	01_mm3 	AC 	4.35093424 	PASSED - 运行时间: 4.35093424秒
58 	fft2 	AC 	0.9541421 	PASSED - 运行时间: 0.9541421秒
59 	shuffle0 	AC 	0.623469 	PASSED - 运行时间: 0.623469秒
