id,name,best_time
1,01_mm1,1.47
2,01_mm2,5.26
3,01_mm3,3.24
4,03_sort1,0.71
5,03_sort2,0.71
6,03_sort3,0.71
7,04_spmv1,7.71
8,04_spmv2,0.09
9,04_spmv3,4.54
10,crypto-1,2.85
11,crypto-2,1.99
12,crypto-3,1.15
13,fft0,0.14
14,fft1,1.52
15,fft2,0.66
16,gameoflife-gosper,0.00
17,gameoflife-oscillator,2.75
18,gameoflife-p61glidergun,3.49
19,h-1-01,0.69
20,h-1-02,0.06
21,h-1-03,4.01
22,h-10-01,0.07
23,h-10-02,0.15
24,h-10-03,0.30
25,h-11-01,0.06
26,h-11-02,0.06
27,h-11-03,0.39
28,h-2-01,0.01
29,h-2-02,0.01
30,h-2-03,0.01
31,h-4-01,0.23
32,h-4-02,0.00
33,h-4-03,3.69
34,h-5-01,0.00
35,h-5-02,0.00
36,h-5-03,0.00
37,h-7-01,0.37
38,h-8-01,0.00
39,h-8-02,0.00
40,h-8-03,0.00
41,h-9-01,0.34
42,h-9-02,0.07
43,h-9-03,0.02
44,if-combine1,0.00
45,if-combine2,0.00
46,if-combine3,0.00
47,matmul1,2.23
48,matmul2,7.50
49,matmul3,4.35
50,shuffle0,0.55
51,shuffle1,3.36
52,shuffle2,0.42
53,sl1,4.25
54,sl2,8.48
55,sl3,0.48
56,sort_search,10.87
57,transpose0,0.34
58,transpose1,0.64
59,transpose2,9.95
