No 	Case 	结果 	Time(s) 	Log
1 	h-1-02 	AC 	0.0795952 	PASSED - 运行时间: 0.0795952秒
2 	transpose2 	AC 	15.3301139 	PASSED - 运行时间: 15.3301139秒
3 	h-1-03 	AC 	6.20523 	PASSED - 运行时间: 6.20523秒
4 	h-1-01 	AC 	0.98515056 	PASSED - 运行时间: 0.98515056秒
5 	transpose0 	AC 	0.67647658 	PASSED - 运行时间: 0.67647658秒
6 	transpose1 	AC 	1.2639542 	PASSED - 运行时间: 1.2639542秒
7 	gameoflife-gosper 	AC 	0.00788402 	PASSED - 运行时间: 0.00788402秒
8 	03_sort2 	AC 	3.05791182 	PASSED - 运行时间: 3.05791182秒
9 	crypto-1 	AC 	5.64672102 	PASSED - 运行时间: 5.64672102秒
10 	if-combine3 	AC 	44.70344956 	PASSED - 运行时间: 44.70344956秒
11 	h-2-01 	AC 	13.83156594 	PASSED - 运行时间: 13.83156594秒
12 	gameoflife-p61glidergun 	AC 	8.70150184 	PASSED - 运行时间: 8.70150184秒
13 	matmul3 	AC 	9.3639273 	PASSED - 运行时间: 9.3639273秒
14 	matmul2 	AC 	17.79549264 	PASSED - 运行时间: 17.79549264秒
15 	03_sort3 	AC 	3.1361719 	PASSED - 运行时间: 3.1361719秒
16 	if-combine2 	AC 	26.39757996 	PASSED - 运行时间: 26.39757996秒
17 	crypto-2 	AC 	4.00748264 	PASSED - 运行时间: 4.00748264秒
18 	03_sort1 	AC 	3.09874506 	PASSED - 运行时间: 3.09874506秒
19 	h-2-02 	AC 	12.82977266 	PASSED - 运行时间: 12.82977266秒
20 	matmul1 	AC 	4.35337994 	PASSED - 运行时间: 4.35337994秒
21 	h-2-03 	AC 	20.14404592 	PASSED - 运行时间: 20.14404592秒
22 	if-combine1 	AC 	0.09024984 	PASSED - 运行时间: 0.09024984秒
23 	crypto-3 	AC 	2.24232434 	PASSED - 运行时间: 2.24232434秒
24 	h-5-02 	AC 	0.00038484 	PASSED - 运行时间: 0.00038484秒
25 	h-4-01 	AC 	0.95192882 	PASSED - 运行时间: 0.95192882秒
26 	sl2 	AC 	20.85728086 	PASSED - 运行时间: 20.85728086秒
27 	h-8-01 	AC 	0.0004081 	PASSED - 运行时间: 0.0004081秒
28 	h-11-02 	AC 	0.13111836 	PASSED - 运行时间: 0.13111836秒
29 	h-9-02 	AC 	0.21236442 	PASSED - 运行时间: 0.21236442秒
30 	h-10-01 	AC 	3.5655031 	PASSED - 运行时间: 3.5655031秒
31 	h-9-03 	AC 	0.02239092 	PASSED - 运行时间: 0.02239092秒
32 	h-11-03 	AC 	0.95887702 	PASSED - 运行时间: 0.95887702秒
33 	sl3 	AC 	1.25516036 	PASSED - 运行时间: 1.25516036秒
34 	h-5-03 	AC 	0.00040748 	PASSED - 运行时间: 0.00040748秒
35 	h-4-02 	AC 	0.00191152 	PASSED - 运行时间: 0.00191152秒
36 	sl1 	AC 	10.47415884 	PASSED - 运行时间: 10.47415884秒
37 	h-5-01 	AC 	0.00089962 	PASSED - 运行时间: 0.00089962秒
38 	h-10-02 	AC 	8.65395388 	PASSED - 运行时间: 8.65395388秒
39 	h-9-01 	AC 	2.3169647 	PASSED - 运行时间: 2.3169647秒
40 	h-11-01 	AC 	0.1324635 	PASSED - 运行时间: 0.1324635秒
41 	h-8-02 	AC 	0.00038242 	PASSED - 运行时间: 0.00038242秒
42 	gameoflife-oscillator 	AC 	7.609622 	PASSED - 运行时间: 7.609622秒
43 	h-8-03 	AC 	0.00040048 	PASSED - 运行时间: 0.00040048秒
44 	h-10-03 	AC 	17.30961462 	PASSED - 运行时间: 17.30961462秒
45 	h-4-03 	AC 	12.63104086 	PASSED - 运行时间: 12.63104086秒
46 	01_mm1 	AC 	2.80497218 	PASSED - 运行时间: 2.80497218秒
47 	04_spmv1 	AC 	10.26207592 	PASSED - 运行时间: 10.26207592秒
48 	shuffle2 	AC 	0.46039424 	PASSED - 运行时间: 0.46039424秒
49 	fft0 	AC 	0.208316 	PASSED - 运行时间: 0.208316秒
50 	fft1 	AC 	2.15824318 	PASSED - 运行时间: 2.15824318秒
51 	h-7-01 	AC 	0.37708704 	PASSED（来自缓存） - 运行时间: 0.37708704秒
52 	sort_search 	AC 	20.90762948 	PASSED - 运行时间: 20.90762948秒
53 	shuffle1 	AC 	3.79317642 	PASSED - 运行时间: 3.79317642秒
54 	01_mm2 	AC 	9.04186446 	PASSED - 运行时间: 9.04186446秒
55 	04_spmv2 	AC 	0.28694024 	PASSED - 运行时间: 0.28694024秒
56 	04_spmv3 	AC 	11.54750758 	PASSED - 运行时间: 11.54750758秒
57 	01_mm3 	AC 	6.03228168 	PASSED - 运行时间: 6.03228168秒
58 	fft2 	AC 	0.95743514 	PASSED - 运行时间: 0.95743514秒
59 	shuffle0 	AC 	0.62732586 	PASSED - 运行时间: 0.62732586秒
